CustomerService,FiturAplikasi,UserExperience,Verifikasi,content
0,1,1,0,"recommended, aplikasi Link Aja mudah diakses dan fitur-fiturnya sangat membantu dalam transaksi. selain itu juga masih ada keuntungan menarik yang didapat dari aplikasi ini"
0,1,1,0,"Mempermudah transaksi, mau bayar juga jadi cepat, gaperlu bawa cash lagi, mantap dah pokoknya"
0,1,1,0,"Ga bisa beli paket data dengan keterangan gangguan, mohon cepat diperbaiki"
-1,-1,-1,0,"Top up 500rb 2x transaksi pada tgl 27 -01-2023 hanya masuk 1x dan 1x 500rb tidak masuk sampai sekarang,,, pusat bantuan hanya chat live yg tidak lengkap mau ngirim bukti tidak bisa hanya klik menu yg ada itu sangat tidak membantu sepenuhnya ,,tlpn center sudah tidak respon apalagi imel ,, tolonglah aktifkan imel dan call center supaya kami bisa memberikan bukti2 transaksi dengan jelas kalo transaksi kami memang sukses tapi saldo tidak masuk ðððððð"
0,1,1,0,Aplikasi ini recommended bngt buat anak milenial buat dijadikan alat transaksi soalnya bnyk fitur yg mudah dan dimengerti buat orang awan
0,1,1,0,"LinkAja merupakan aplikasi yang sangat membantu serta mudah digunakan untuk melakukan berbagai macam transaksi, hanya dengan menekan fitur yang ada di aplikasi kita bisa melakukan transaksi dengan cepat,praktis, dan mudah, fitur yang ada juga beragam jadi membantu banyak dalam satu app saja. Aplikasi juga termasuk ringan sehingga tidak terlalu makan tempat penyimpanan. Mari menggunakan LinkAja untuk mempermudah transaksi."
0,1,1,0,"Aplikasi yang sangat membantu banget dalam pembayaran cashless, jadi buat gak ribet harus bolak balik ke outlet buat bayarin tagihan kayak listrik, air dan lain sebagainya. Beneran ga buat ribet dan mempersingkat waktu juga."
0,1,1,0,Mantap.. Aplikasinya sangat membantu buat beli paket atau bayar tagihan dan berbagai macam transaksi lainnya
0,1,1,0,"aplikasi nya sangat membantu saya, memudahkan saya dalam bertransaksi, dan fitur-fitur nya lengkap banget bisa buat bayar tagihan listrik,pulsa,kuota,dll. proses pembayaran nya juga cepet gapake ribetð aplikasi ini sangat recomended jika ingin melakukan pembayaran dengan cepat."
0,1,1,0,Sangat recomended untuk pembayaran apapun dan ga ribet sama sekali. Lovee LinkAja
-1,-1,-1,0,"APLIKASI SAMPAH!!! 2x beli paket data tgl 30/01/23 sampai sekarang statusnya masih pending. Udah hub dr ig, twitter, email, call center sampai nguras pulsa tapi katanya semua pengaduan hanya bisa melalui livechat. Udah nyobaÂ² sampai 2hari baru bisa terhubung di live chat tapi begitu saya jabarin keluhan malah tibaÂ² saya keluar dr obrolan livechat. Lalu pelanggan yg punya keluhan atas aplikasi busuk kalian ini mau ngadu kemana???"
0,1,-1,0,Memudahkan Bertransaksi Online NO X Mau masuk akun lama saja susah Ribet nomor benar mau reset pin gagal memuat terus kecewa sekali padahal akun sudah premium juga akun lama.
0,-1,-1,0,"Kok saya ga bisa reset pin ya? Selalu disuruh ""coba lagi"" dengan alasan koneksi internet bermasalah. Padahal tidak ada yg salah dengan jaringan internet saya. Mohon bantuannya."
-1,-1,-1,0,"Aplikasi Sampah... Tiap top up emoney transaksi berhasil, tapi pas di update saldo tidak masuk... Hubungi customer service ribet, call center cuma ngabisin pulsa... Udah tutup Linkaja cuma bikin Linklunk.. Ditambah hari ini, Saldo tiba-tiba hilang. Lapor via live chat (nunggunnya setengah mampus) katanya tidak bisa di refund.. Sueee.."
0,-1,-1,-1,"Lama kelamaan aplikasinya jelek brapa x saya isi pulsa dan data selalu gagal... Saya pelanggan lama y di link aja, tolong sistemnya jngan merugikan pelanggan, apalagi masalah topup terpending tapi gak dibalikin"
0,-1,-1,0,"Saya kasih bintang satu dulu, karena saya pas mau login kode OTP nya tidak merespon, tolong diperbaiki lagi kalau sudah di perbaiki saya tambah 4 bintang lagið"
0,-1,-1,-1,"Apk apaan kaya gak niat , proses upgrade nyh lama banget males gw , dah di isi saldo gak bisa di kirim bank gara gara blum di full service upgrade nyh"
-1,-1,-1,-1,Saya menyesal topup di link aja proses upgrade tidak di tanggapi sudah seminggu. Di email tidak di balas. Mau tarik uang kembali tidak bisa karena proses upgrade belum di tanggapi. Buruk sekali pelayanannya.
-1,-1,-1,0,Pelayanan pelanggan buruk mau unblock saja susah utk akses. ribet!! Cuma bsa via telepon callcenter yg bnyak mkan pulsa
0,1,1,0,"Sebagai mahasiswa yang demen cashless, aplikasi LinkAja sangat membantu banget sii, bikin semuanya jadi gampang!"
0,-1,-1,0,"Apk erroooorrrrrrr, sudah top up 60 rb tapi saldo tidak mau nambah, padahal diriwayat sudah ada bukti transaksi topup dri bank ð¥² skarang akun saya tidak bisa dibukaaa gimana nih solusinyað"
0,-1,-1,0,"Kacau nih, ga pernah ngapa ngapain pas buka lagi gabisa login ke akun padahal masih ada saldonya"
0,1,1,0,Aplikasi yang sangat bermanfat sekali dan mudah untuk digunakan .. terima kasih
0,1,-1,0,"Mantap keren, All in one payment Tp sayangnya akhir-akhir ini device saya terdeteksi root, padahal menurut saya Ndak, mohon di perbaiki lagi. Terimakasih"
0,0,-1,-1,"Aplikasi ga jelas upgrade ke full service engga beresÂ² udah mau 1bulan sedang dalam proses trus,,mau di proses sampe kapan ?"
0,-1,-1,0,blm ada akun. sudah terdaftar. lupanpin ingin reset selalu error. aneh ni app. app plat merah emang error ð¤£ð¤£
-1,-1,-1,-1,Upgrade data udh seminggu masi dalam proses nyesel bgt d awal langsung percaya langsung top up sekarang saldo ngendap padahal pas download urgent bgt sampe skrg ini saldo ga bisa d apa apain. Pengaduan cuman d suruh live chat aja!! Dan gaada yg berubah sampe skrg!! Ttep dalam proses lama bgt !!!!!!!!!!
0,1,1,0,Mudah sekali digunakan.... bisa dimana saja dan kapan saja dan jg utk pembayaran apa saja.... sgt efektif dan memudahkan
-1,0,-1,-1,Linkaja kayak sempak saya mengajuakn downgrade berkali kali nggak ada penyelesaian nya tlp cs nya sampai habis 100k belum juga ada realisasi nya sudah mengajuakn via email nggak ada kelanjutan nya intinya linkaja tidak siap untuk bikin sebuah apk ewallet tidak bisa menyelesaikan sebuah problem di apk itu sendiri
0,-1,-1,0,Susah bnget klo ada yang pending buat laporan di lempar sana sini n tidak ada penyelesaian masalah sedikitpun Bagaimana proses nya yg hrus d lakukan klo kita terkendala pending Tolong d selesaikan permasalahan saya sudah hmpir 2 minggu tetap pending pembelian pulsa saya
-1,-1,-1,0,Kok eror mulu sih.. call center nya jg gk bisa di hubungi keteranganya jg eror. Saya mau narik saldo sayaa yg masih tertinggal di akun lama malah tdk bisa diakses
-1,0,-1,0,Ini aplikasi ada karyawannya apa tidak ya wkwkw.. menu CS hanya pemanis.. kendala tidak pernah teratasi.. akun ku terblokir sudah 2 bulan.. katanya hubungi cs.. udah tk hubungi.. katanya tunggu 1x24 jam ððð 1x24 jam waktu mars po ??? Dah 2 bulan cok.. wajar aja sudah gk dipercaya ni app pelayanan paling buruk Keknya CS kalian hanya asal2an jawab tidak pernah di bantu ... bahaya ni app di biarin banyak yg di rugikan
0,-1,-1,0,"aplikasi busuk,sering nyangkutnya isi e toll bukannya tambah gampang malah nyangkut,coba kalo duit pasÂ²an malah ga jadi lewat tol ,huft udah lah unistall"
0,1,1,0,"Aplikasinya mudah di gunakan , sangat membantu banget saat transaksi dimana pun . Tinggal klik semua beres ðð"
0,1,1,0,"Fitur LinkAja makin bagus, dari dulu makenya. Trus gampang banget, tampilannya juga bagus. Semoga makin bagus yaa"
-1,-1,-1,0,"Parah udah seharian kirim uang gagal terus,,tarik saldo jg gk bisa .....udah email ke linkaja tetep gk da kejelasan....."
0,1,1,0,"Pake LinkAja sangat memudahkan transaksi dimana aja, enak buat akses transportasi, bayar tagihan, kirim uang, dll."
0,-1,-1,0,Biar cepat di tanggapi Knp ya daftar Link Gak berhasil terus Udah pake no baru juga Pake no lama pas riset pin gak berhasil terus gagal
0,1,1,0,"Semenjak pake linkaja, sangat mempermudah urusan pembayaran bisa dipake kapanpun dan dimanapun thank u linkaja"
0,-1,-1,0,Kenapa link aja sering mengalami gangguan.. Mau ngirim uang transaksi gagal terus.. Tolong dong aplikasinya d perbaiki.. Bikin kecewa bos
0,-1,0,0,"Klu bisa ditambah lg fungsinya misalnya buat bayar belanja online,pay later dan klu bisa sekalian bisa pinjam uang...pasti tambah sempurna dan makin byk yg gunakan,,,garanty"
0,-1,-1,0,"Ini gimana si disuruh nunggu 1Ã24 jam buat full service tapi sampe skrng blm bisa buat transfer juga, ini urgent begini dari kemaren ga guna banget kalo kaya gini gua masukin saldo ke apk ini"
0,1,1,0,"Good app, pas buka ga lelet dan mudah untuk bayar pulsa, tagihan"
0,1,1,0,"Aplikasi yang bagus sangat membantu dalam membayar, penggunaannya mudah dimengerti dan fitur2nya lengkap."
0,0,-1,-1,Emang bener bener dah ni yang buat aplikasi ini kayaknya bocil ff. Isi nama lengkap aja salah Mulu gak masuk akal emang tolol tingkat dewa nih yang buat aplikasi
0,-1,-1,-1,"Udah 2 hari akun tetap basic, sudah di upgrade tapi ga bisa, ga bisa kirim duit padahal saldonya ada"
-1,0,-1,-1,Upgrade ke Linkaja Full Service sdh lebih dr 1 x 24 jam tidak ada respon dan tdk ada tanggapan sama sekali.. sangat tidak profesional benar benar kecewa menggunakan Linkaja !!!!!
0,0,-1,-1,"Ribet banget mau tutup akun lewat email, udh kirim data sesuai permintaan juga dibuat no tiket doang, ga di progres"
0,-1,1,0,"Aku suka banget pake link aja. Tapi bakal lebih suka lagi Kalo biaya transfernya bisa lebih murah hhehehehehe.soalnya dompet digital lain udh ngasih biaya transfer gratis. Walaupun pake kuota, gak papa.."
0,0,-1,-1,Mau upgrade ke full service kok malah disuruh top up dengan 6 angka terakhir nomor telepon. Dan walhasil semua terpotong. Saldo ludes tanpa ada pengembalian. Wassalam link aja. Penipuan berkedok syariah. Sampai jumpa di akhirat. Saya tagih utang anda.
-1,0,-1,0,"Dimohon dengan sangat untuk memperbaiki permasalahan di link aja, akun saya tidak bisa di buka, sudah telpon call center g bisa memperbaiki masalah malah tambah masalah, di live chat nya trus saja di dalam antrian, apa sih maksud nya ni?"
0,0,-1,-1,"Jangan download apk ini,udah 2 Minggu masih aja gak ke upgrade basic premium nya, sebelum kalian nyesal lebih baik gak usah download apk ini,ini Saran dari saya,saya sangat kecewa sama apk seperti ini,knpa pihak play store masih bisa terima apk seperti ini? Mohon di hapus aja apk ini dari play store jangan sampai semua orang kecewa"
0,0,-1,-1,Aplikasi link gak bisa di gunakan di saat saya mau verifikasi waja selalu gagal ðâ¹ð jadi nyesel untuk dwonload link kesel aku jadi yo
0,0,1,-1,Bagus... Tp sayang punya sy blm full service. Tolong dibantu disegerakan full service dikarenakan untk memperlancar dan mempermudah transaksi. Terimakasih.
0,1,1,0,"Aplikasinya recomended , fitur fiturnya mudah tidak ribet , transaksinya cepat , harga jg lebih murah dari apk sebelah"
0,1,1,0,"Pake Linkaja gampang cepet banget buat pembayaran2. Sering dapet cashback dan diskon juga karena saking seringnya pake Linkaja buat bayar tiket kereta, bensin pertamina, listrik, transfer, dll. Ini aplikasi sangat membantu pokoknyaa. Thx Linkaja."
0,1,1,0,"So far bagus bgt aplikasinya, fiturnya mudah dipahami dan gampang banget dipelajari."
0,0,-1,-1,"Ini kenapa lama banget si upgrade ke full service nya, padahal semua persyaratan dan data juga udah sesuai tapi masih aja lama. Udah 3 hari lewat loh. Mohon untuk segera di tuntaskan ya min."
0,-1,-1,-1,"Kenapa proses verifikasi sangat lama ya? Padahal saya sangat butuh uang yang ada di aplikasi, tapi malah nggk bisa diambil, tolong dong percepat proses verifikasi data, terimakasih, 1 lagi kenapa saldo saya hilang di aplikasi padahal terakhir saldonya 500.500 sekarang kok kosong ya? Link aja kenapa gak jelas banget sih? Siapa yang akan bertanggung jawab atas hilangnya dana nasabah?"
-1,-1,-1,0,"Aplikasi yg sangat mengecewakan,transaksi gagal saldo tetap terpotong,mekanisme handling complain nya jg sangat ribet,penanganan komplin jg lama,mending balik ke tcash aja dari pada tidak bisa bersaing dengan fintek lainnya Lucu nya lagi aplikasi ini bisa memanipulasi mutasi transaksi,bukan memperbaiki system tp malah manipulasi transaksi"
0,1,1,0,"Apk mantap.. Banyak manfaatnya.. Gampang banget transfer,nya Mudah dan langsung bisa di pelajari Super cepat Tidak ada iklan Bagus untuk pemula Aplikasi recommended Fitur lengkap No minus pokoknya"
-1,0,-1,0,Niat gak sih ngrusi aplikasi n sistemnya..tanpa sebab akun di blokir coba hubungi cs gak ada yang respon hanya mesin n tidak ada solusi..live chat tidak membantu...
0,-1,0,0,Transfer saldo kepotong....tp dana tidak masuk ke rekening tujuan..
0,1,1,0,"Aplikasinya bagus, sangat mudah dipakai dan gampang buat dibawa kemana aja"
0,1,1,0,"Aplikasi yang menarik dan menurut saya ini aplikasi yang cocok untuk mahasiswa maupun orang dewasa,selain itu fiturnya juga oke"
0,-1,-1,0,Tidak bisa kirim uang dua kali ke nomor sama. Tidak bisa scan qris. Bintang satu untuk LinkAja.
0,1,1,0,"Recommended bgt, fiturnya mudah dipake dan ga ribet, bisa buat beli pulsa ojek online, belanja, dan banyak lagi"
0,1,1,0,Aplikasi top banget. Mudah banget buat tf kalau pas lagi butuh cepet banget buat transakasi sederhana. Biss buat beli pulsa juga kalau lagi butuh cepet. Fitur yg menarik dengan menggunakan simbol yg mudah dimengerti. Kedepannya semoga lebih baik lagi Link-Ajaa..
0,1,1,0,Applikasi nya sangat mudah untuk digunakan dan sangat bermanfaat untuk transaksið
0,1,1,0,"Asli bagus Aplikasi nya bisa nyimpen dana untuk kebutuhan mendesak, ngisi kuota jdi bisa dimana aja. LinkAja best dahh....."
0,1,1,0,LINK AJA. Is the best. Mantap . Apa yang menjadi keperluan . Sangat di mudahkan .dalam bertansaksi .dimanapun kapanpun dalam kondisi apapun. LINK AJA .luar biasa.
0,0,-1,0,"Sangat menyusahkan saat daftar, koneksi gagal terus"
0,0,-1,0,Linkaja tahun ini isi saldonya udah naik. Terus kita mau beli pulsa juga mahal.. masak beli pulsa untuk diri sendiri udah naik
-1,-1,-1,0,Aplikasi buruk sekali. Transaksi gagal uang tidak di return. Tlp cs katanya 24 jam tapi tidak ada yang angkat. Sangat baik sekali. Terima kasih link ajað
0,1,1,0,Aplikasi sangat bagus dan sangat membantu untuk melakukan Transaksi transfer ataupun pembayaran.
0,1,1,1,"Link aja ini ngebantu banget buat transaksi pulsa, token, sama data. Daftarnya ga ribet, biaya murah klo transfer ke lain bank. Best banget deh, ga cukup bintang lima klo buat link aja mah harus bintang 10ððð¥°"
-1,0,0,0,"Susah di akses. Alasannya koneksi, padahal baik jaringan data ataupun wifi bagus semua untuk app lainnya"
0,-1,-1,-1,Kaya @*#$*$ Minta upgrade. Pas upgrade mentok di verifikasi wajah... Ga selesai selesai.. ulangggggg teros.. sampe pegel hati. Butuh duit itu untuk di tarik... Ga bisa bisa kepentok disuruh verifikasi wajah yg ga bisa bisa itu. Ngebug teros.... Tau gini mending pake apk dana aja teros. Makasi atas kekecewaan ini.
0,-1,-1,0,"Aplikasi merugikan, isi.e money saldo berkurang tpi tidak ke isi, telpon gak.bisa, gak minal.ya lu bikin aplikasi,kaya bapuk aja merepotkan"
0,1,1,0,"Mempermudah segala transaksi, aplikasinya jg mudah di gunakan, anti ribetð"
-1,-1,-1,0,"Ngak bisa login, katanya dulu sudah lama pernah di daftar, memang ada tapi sudah lupa pin. di reset pin tetap gagal, katanya jaringan internet saya gak ada.....?????? Di kirim pesan sama admin malah adminya robot.."
0,0,-1,0,"Akun LinkAja sy ke blokir karena awalnya salah PIN, sekarang total gak bisa diakses walau udah ganti2 nomor...mohon bantuannya untuk akun sy agak bisa diakses kembali, makasihð"
0,1,1,0,"Bagus banget appnya. Bisa transfer, deposit, beli pulsa, dan banyak fitur lainnya."
-1,-1,-1,-1,Maaf...saya kasih 2 bintang dulu soalny pas saya mau gnti poto profil gagal terus..trus mau peripiksi wajah gagal terus pdhl saya sdah ikut bntuan..menghungi pusat bntuan gk bisa2
-1,-1,-1,0,"ka, tolong di bantu acc upgrade full service nya..udah 3 hari daftar gk di accÂ², cs nya gak bisa di hubungi..mau transaksi jadi gk bisa..tolong di bantu ka.."
-1,0,-1,0,"Aplikasi LinkAja ribet. Customer Service di telpon gak ada respon, di Email gak ada respon. Beda dengan aplikasi OVO & GOJEK. aplikasi BUMN bobrok"
0,0,-1,0,Apakah akun ini masih trouble? Dan belum bs di akses utk daftar baru? Sy coba berkali2 belum berhasil !!!
-1,-1,-1,0,"Aplikasi tidak tanggung jawab, setelah transfer ke LinkAja malah akun saya di non acces oleh LinkAja. Sehingga Uang saya tidak bisa di pakai, saya sudah laporan melalui website dan telepon tanggapan nya tidak ada solusinya dan SANGAT TIDAK MEMBANTU. Mohon tanggu jawabnya"
0,-1,-1,0,"Aplikasinya Bad banget. Kalau bukan karnay Pertamina aku gak bakal download.. masa mau reset password gak jadi"" katanya jaringan.. padahal aku udah nyoba pake WiFi sama data tapi gak jadi juga. PARAH"
-1,-1,-1,0,Gimana mau tarik uang sedangkan login gak bisa..sdh hub cs susah..di email suruh livechat..ribet banget ini linkaja parah kalau gini gak ada solusinya
-1,-1,-1,0,"Awalnya bagus lancar, belakangan ini transaksi sering eror. Saldo udah kepotong tapi statusnya masih pending. Pengaduan yg bales robot. Suruh nunggu 1x24 jm katanya dana kembali, tpi sampai 3 hari belum kembali. Tiap kepengaduan yg bales robot. Saran saya lebih baik pakai e-wallet lain saja. Masih ada OVO dan Dana yg pelayananya lebih cepat"
-1,-1,-1,0,Linkaja eror tolong lihat riwayat pendingnya. Sudah email juga tidak bisa selesaiin masalahnya. Yang ada cape email mulu gk terselesaikan... haduh dri tgl 1 desember masih eror pending saldo gak balik2 sampe sekarang. Ternyata parah kalo eror.
-1,-1,-1,0,"Mohon benahi lagi systemnya, saya ada transaksi pending yang tidak terselesaikan dari tgl 20 jan 2023 sd sekarang, namun saldo juga tidak kembali, coba hubungi CS nya yang jawab cuma boot, gak solutif sama sekali, uang saya belum juga balik udah hampir 1 bulan, gima nih apa ndak ada solusi dari pihak linkaja, kalo gak ada saya uninstal aja sekalian nih app ndak bermutu."
0,1,1,0,"Alhamdulillah Semua transaksi Jadi lebih mudah pengiriman nya juga cepat biayanya murah,ð"
0,1,1,0,"Membantu banget dalam proses transaksi, penggunaannya mudah jadi ngga khawatir kalo keluar kelupaan bawa uang cash. Beli pulsa dan token listrik juga bisa dilakuin dimana aja tanpa ribet. Mantap pokoknyaaððð"
0,1,1,0,"Aplikasinya keren banget sih, mau kapan ajah dan dimana ajah kita bisa bertransaksi tanpa perlu ribet lagi"
0,1,1,0,"Ini aplikasi mempermudah bgt buat yg aku suka tf ke bank2 lain, bahkan buat naik krl/mrt aja bisa, fitur2nya juga gampang di mengerti"
-1,-1,-1,0,Saya sdh punya akun.. Kok sdh di upgrade kirim data blm ada notif juga nih sdh seminggu lebih.. Jd blm bisa transaksi sedangkan saya urgent mau kirim uang. Gmn tolong dibantu segera.. Call cs dan live chat jg blm ada responnya.. Tolong bagaimana? Edit : Link aja sebagai apk produk negri sendiri ternyata GAGAL membuat kami para pelanggan barunya terlayani dgn baik.. Saya sangat kecewa dgn balasannya.. Tdk ada yg bisa saya dilakukan kecuali menunggu.. Kalau gagal lg brrti auto uninstal
