aaat,saat
diakes,diakses
diakses,akses
diamkan,diam
diamond,berlian
diamondnya,berlian
diangkt,diangkat
diaplikasi,aplikasi
diaplikasinya,aplikasi
dibalasbalas,dibalas
dibandroid,android
dibeberapa,beberapa
dibetulkan,betul
dibukaaa,dibuka
dichat,dijapri
didaftarkan,daftar
didalamnya,dalam
didlm,di dalam
didm,dikirim pesan
didunia,dunia
diemail,email
diemal,email
digitalnyaa,digital
digubungi,dihubungi
dihub,dihubungi
dihungin,dihubungi
diisi,isi
dikarenakan,karena
dikarnakan,dikarenakan
dikembalin,dibalikin
dikrnkn,dikarenakan
dilink,linkaja
dinakhir,diakhir
dintampilkan,ditampilkan
dipakee,dipakai
dipakek,dipakai
dipakenya,dipakai
dipercepatttttttt,dipercepat
diperngunakan,dipergunakan
diplaystore,di playstore
diproses,proses
diputer,putar
direspon,respon
diriwayat,riwayat
disegerakan,segera
disn,disana
disuspend,tunda
ditagih,tagih
ditanggapi,tanggapi
ditanya,tanya
diteksi,deteksi
ditelep,curi
ditelpon,telpon
ditlpm,ditelpon
ditlpn,ditelpon
ditransfer,transfer
ditransferin,transfer
ditrasnfer,transfer
diuograde,ditingkatkan
diupdate,diperbaharui
diupgrade,ditingkatkan
diutr,fitur
diverifikasi,verifikasi
djwb,dijawab
dlam,dalam
dll,dan lain-lain
dlm,dalam
dlu,dulu
dm,japri
dn,dan
dng,dengan
dngn,dengan
doankkkkkk,doang
dongkol,jengkel
donk,dong
donloud,unduh
doongggg,dong
dowload,unduh
dowlond,unduh
down,bawah
downgrade,penurunan
download,unduh
downlod,unduh
dpt,dapat
dr,dari
drdlu,daridulu
dri,dari
dripda,daripada
dsb,dan sebagai
dsini,disini
dsni,disini
dsruh,disuruh
dtlp,ditelpon
duet,uang
duid,uang
duitnya,uang
dulakukan,dilakukan
duper,super
dus,kotak
duuhh,duh
duuuhhh,aduh
dwonload,unduh
e,elektronik
easy,mudah
eeee,eh
efesien,efisien
ehh,eh
emai,email
emaik,email
emailny,email
emailnya,email
emal,email
emany,uang elektronik
emergency,darurat
emg,emang
emng,emang
emoney,uang digital
enaknya,enak
entertaiment,hiburan
eror,rusak
erorr,rusak
erorrrr,rusak
erorrrrrrr,rusak
erro,rusak
erroooorrrrrrr,rusak
error,rusak
esamsat,samsat elektronik
etol,tol elektronik
etoll,tol elektronik
every,setiap
ewalet,dompet digital
ewallet,dompet digital
experience,pengalaman
expert,ahli
faktanya,fakta
far,jauh
fast,cepat
fastrespon,cepat respon
fb,facebook
feb,februari
fee,biaya
ferifikasinya,verifikasi
ferivikasi,verifikasi
ff,freefire
fikturnya,fiturnya
filtur,fitur
filturnya,fitur
fin,finansial
financial,finansial
fintek,finansial teknologi
firivikasi,verifikasi
fitir,fitur
fiturfitur,fitur
fiturnya,fitur
fix,perbaiki
fleksible,fleksibel
food,makanan
force,memaksa
fringernya,jarinya
ful,penuh
full,penuh
fullservice,layanan penuh
fullservise,layanan penuh
fungsinya,fungsi
g,gak
gaa,tidak
gaada,tidak ada
gada,tidak ada
gag,gak
gakaya,gak seperti
gal,gagal
game,permainan
gamenya,permainan
gamer,pemain permainan
games,permainan
gampangg,gampang
gangguanya,gangguannya
ganguan,gangguan
garanty,dijamin
garibet,tidak ribet
gati,ganti
gbsa,gabisa
gemana,gimana
gercep,cepat
gilaa,gila
gilak,gila
gilaran,giliran
gima,gimana
gimama,gimana
gimanasi,gimana
gimaneee,gimana
gimna,gimana
ginama,gimana
gk,gak
gkda,tidak ada
gmana,gimana
gmn,gimana
gmna,gimana
gmpg,gampang
gni,gini
gnti,ganti
god,bagus
gogle,goggle
good,bagus
gopey,gopay
gr,gara
gra,gara gara
grade,tingkat
graparj,grapari
great,bagus
greget,gereget
gt,gitu
gtu,gitu
gtw,gaktau
guasaranin,saya saranin
gunaa,guna
gunaik,gunain
gunainnya,gunain
gunanin,gunain
gw,saya
gx,gak
habisss,habis
hadeeeh,aduh
hadehh,aduh
hadehhh,aduh
hadeuh,aduh
hadew,aduh
haduuuh,aduh
hallo,halo
halloo,halo
handling,penanganan
hapun,hapus
harganya,harga
harunya,harusnya
hasilnya,hasil
haya,hanya
hbgi,hubungi
hbisin,habisin
hbs,habis
hdup,hidup
hehhe,hehe
helpful,membantu
helping,membantu
henpon,telepon
hhehehehehe,hehe
hilangnya,hilang
hinga,hingga
hisrory,riwayat
histori,riwayat
hk,gak
hmpir,hampir
hnya,hanya
hp,telepon
hpus,hapus
hr,hari
hrga,harga
hri,hari
hrs,harus
hrus,harus
hub,hubungi
hubungin,hubungi
huft,capek
hy,hanya
i,saya
idomaret,indomaret
ig,instagram
ikhlasinajalah,ikhlas
ikhlaskan,ikhlas
ikiii,ini
ilang,hilang
imel,email
in,kedalam
indomart,indomaret
indomrt,indomaret
infonya,info
inii,ini
iniii,ini
instal,pasang
install,pasang
instgram,instagram
instruksikan,instruksi
interface,antarmuka
intya,inti
ishh,is
isian,isi
isinya,isi
istagram,instagram
it,teknologi informasi
ita,itu
itumah,itu
itungan,hitungan
iyaa,iya
ja,aja
jabarin,jabar
jadii,jadi
jadinya,jadi
jadu,jadi
jamannya,jaman
jan,januari
january,januari
jaringannya,jaringan
jawaba,jawaban
jawabannya,jawaban
jawabn,jawaban
jdi,jadi
jelasss,jelas
jelassss,jelas
jelekx,jelek
jg,juga
jga,juga
jgan,jangan
jgn,jangan
jkt,jakarta
jlaskn,jelaskan
jm,jam
jng,jangan
jngan,jangan
job,kerja
jobb,kerja
jos,bagus
jt,juta
juah,jual
jugaa,juga
jugaaa,juga
jugaaaa,juga
jwab,jawab
jwb,jawab
k,ke
ka,kak
kaadang,kadang
kab,kabupaten
kai,kereta api indonesia
kalitetep,kali
kalo,kalau
kalok,kalau
kampreettt,kampret
kantornya,kantor
kapannn,kapan
karen,karena
karna,karena
karnay,karena
karyawannya,karyawan
kasana,kesana
kasihtau,beritahu
kassh,kasih
katax,kata
kawula,kaum
kcewa,kecewa
kci,kecewa
kebelokir,blokir
kebijakannya,kebijakan
kebutuhannya,kebutuhan
kecwa,kecewa
kedebet,debit
kedepannya,kedepan
kedepanx,kedepan
kedepanya,kedepan
keeasama,sesama
kegunaanya,kegunaan
kejelasannya,kejelasan
kejelasanya,kejelasan
kekiniann,modern
kekurangannya,kekurangan
kelanjutannya,kelanjutan
kelupaan,lupa
kembalaiin,kembaliin
kembalk,kembali
kemren,kemarin
kemudahannya,kemudahan
kemudahkan,memudahkan
kenceng,kencang
kendalaa,kendala
kendalanya,kendala
kenpake,pakai
kententuan,ketentuan
kepending,ketunda
kepenerima,penerima
kepengaduan,pengaduan
kereenn,keren
kerena,karena
kerenn,keren
kerennn,keren
keridit,kredit
kerjannya,kerjanya
kerjasamanya,kerjasama
kesalahn,kesalahan
kesambunh,kesambung
kesanah,kesana
kesesama,sesama
kesharian,keseharian
ket,keterangan
keteman,teman
keterangannya,keterangan
keternganya,keterangan nya
kgagalan,kegagalan
kgak,tidak
kimakk,kimak
kinerjanya,kinerja
kirimuang,kirim uang
kirm,kirim
kiti,hubungi
kjdian,kejadian
kjlasan,kejelasan
kk,kakak
kl,kalau
klain,klaim
klam,klaim
klik,tekan
klir,kelar
klo,kalau
klok,kalau
klu,kalau
kluar,keluar
klw,kalau
kmaren,kemarin
kmbali,kembali
kmna,kemana
kmren,kemarin
kn,kan
knapa,kenapa
knp,kenapa
knpa,kenapa
kntl,sial
kog,kok
kokk,kok
komfirmasi,konfirmasi
kompetitornya,kompetitor
komplai,komplain
komplainnya,komplain
komplein,komplain
komplen,komplain
komplete,lengkap
komplin,komplain
komplit,lengkap
konci,kunci
konfimasi,konfirmasi
konputer,komputer
konsumennya,konsumen
koq,kok
kosan,kos
kouta,kuota
kpake,dipakai
kq,kok
krim,kirim
krl,kereta rel listrik
krm,kirim
krn,karena
krna,karena
krnapa,kenapa
kronologinya,kronologi
ksh,kasih
ksih,kasih
ksinih,kesini
ktak,kontak
ktanya,katanya
ktidaknymanan,ketidaknyamanan
ktnya,katanya
kualitasnya,kualitas
kualitasnys,kualitas
kucinggg,kucing
kudah,mudah
kudu,harus
kue,ke
kuranng,kurang
kurqng,kurang
kuta,kuota
kwalitasnya,kualitas
ky,kaya
kyak,kaya
kyc,know your customer
la,lah
laen,lain
lagsung,langsung
lahi,lagi
lainnya,lain
lainya,lain
lajn,lain
lalay,lalai
lamaa,lama
lamaaaa,lama
lamaaaaa,lama
lamanya,lama
lambab,lambat
lamgsung,langsung
lancarrrr,lancar
lanjuti,lanjut
lantass,lantas
laporannya,laporan
lasg,langsung
lasung,langsung
layana,layanan
layanam,layanan
layanannya,layanan
lbh,lebih
lbih,lebih
le,lewat
lebihh,lebih
lengguna,pengguna
lengkaaap,lengkap
lengkapku,lengkap
lengkapp,lengkap
lg,lagi
lgsg,langsung
lgsung,langsung
lh,lah
lho,loh
lhoo,loh
linaja,linkaja
line,jalur
ling,LinkAja
lingaja,linkaja
link,linkaja
linkajaaaaaaa,linkaja
linkajaku,linkaja
linklunk,bingung
linkyg,linkaja yang
listril,listrik
live,langsung
livechat,japri
livechatt,japri
lngsung,langsung
loding,memuat
loe,lu
log,masuk
logij,masuk
login,masuk
loginkan,masuk
loginnya,masuk
logonya,logo
logout,keluar
logoutpun,keluar
loguot,keluar
lol,tolol
lostconnection,hilang koneksi
love,suka
lovee,suka
lsg,langsung
luama,lama
luarkota,luar kota
lumyan,lumayan
lupanpin,lupa pin
luv,suka
luvvv,suka
lve,langsung
lwt,lewat
ma,sama
maaci,makasih
maalh,malah
macem,macam
mahaal,mahal
mail,email
maintenance,pemeliharaan
makannya,makanya
makek,pakai
makenya,pakai
maks,maksimal
maksudnya,maksud
mala,malah
malahn,malahan
males,malas
mamtep,mantap
manage,mengelola
manajemennya,manajemen
mantaaappp,mantap
mantab,mantap
mantabb,mantap
mantapp,mantap
mantappp,mantap
mantapppp,mantap
markotop,mantap
mas,masih
masalahnya,masalah
masi,masih
masic,masih
maslaah,masalah
masukkan,masuk
masukkin,masukin
masuknya,masuk
masul,masuk
masy,masyarakat
maunya,mau
max,maksimal
maximal,maksimal
mba,mbak
mbangking,perbankan seluler
mbanking,bank digital
mbulet,lambat
mebantu,membantu
medsos,media sosial
melai,melainkan
melakikan,melakukan
melaknatanya,melaknat
membagongkan,membingungkan
membantuu,membantu
membatu,membantu
memperbaikinya,memperbaiki
memperlakikan,memperlakukan
memudah,mempermudah
memutuskanmau,memutuskan mau
memverifikasi,verifikasi
mendownlod,unduh
menelfon,nelpon
mengakses,akses
mengelik,klik
menggubungi,menghubungi
menggukan,menggunakan
menggunkn,menggunakan
menghubungi,hubungi
menghungi,menghubungi
mengjuakn,mengajukan
mengoperasikannya,operasikan
mengubungi,menghubungi
mengwcwwakan,mengecewakan
meningkaatkan,meningkatkan
menunya,menu
menytakan,menyatakan
mepermudah,mempermudah
merchan,penjual
merchant,pedagang
merekomendasikan,rekomendasi
mereset,reset
merhant,penjual
merigakan,merugikan
meudahkan,memudahkan
mh,mah
mhn,mohon
midah,mudah
milinial,milenial
min,admin
minal,minat
mind,admin
mingguan,minggu
minusnya,minus
misalnya,misal
mkan,makan
mkin,makin
mksd,maksud
mksdnya,maksudnya
mksh,makasih
mladh,malah
mlh,malah
mls,malas
mlu,mulu
mn,mana
mna,mana
mndapatkan,mendapatkan
mnding,mending
mngalami,mengalami
mnggu,minggu
mnggunakan,menggunakan
mngingat,mengingat
mngkonfirmasi,mengkonfirmasi
mnjaga,menjaga
mnt,menit
mnta,minta
mnyampaikan,menyampaikan
mo,mau
mobile,telepon
mobilebanking,bank digital
money,uang
move,berpindah
mrt,moda raya terpadu
msak,masa
msalah,masalah
msh,masih
msih,masih
msk,masuk
msuk,masuk
mudahh,mudah
mudahhh,mudah
mudal,mudah
multifungsii,multifungsi
muluk,melulu
mulutlah,mulut
mundah,mudah
mutasinya,mutasi
muter,mutar
mw,mau
my,ku
n,dan
namanya,nama
nangiss,nangis
naro,menaruh
nasibnya,nasib
nb,tambahan
ndabisa,tidak bisa
ndak,tidak
ne,ini
negri,negeri
nel,telpon
nelfon,nelpon
nelponin,menghubungi
nerkaitan,berkaitan
nfc,komunikasi jarak pendek
nfcnya,komunikasi jarak pendek
nga,tidak
ngabis,habis
ngabisin,habisin
ngaco,kacau
ngajuim,ngajuin
ngak,enggak
ngapai,ngapain
ngasi,kasih
ngaur,ngawur
ngbantu,ngebantu
ngdap,mengendap
ngeblank,kosong
ngecewain,kecewain
ngehubungin,hubungi
ngelag,kelambatan
ngelink,terhubung
nget,banget
ngg,tidak
ngga,tidak
nggabisa,tidak bisa
nggak,enggak
nggantung,gantung
nginformasi,informasi
ngisi,isi
ngk,enggak
ngmng,ngomong
ngoperasiin,kelola
ngrusi,ngurusi
ngubungi,hubungi
ngubungin,hubungi
nh,nih
nie,ini
nihh,nih
nihhhhh,ini
nii,nih
nilep,mencuri
nlf,nelpon
no,nomor
nomer,nomor
nomernya,nomor
nominalnya,nominal
non,tidak
nonghol,nongol
nonstop,tidak berhenti
not,tidak
notif,notifikasi
notifikasinya,notifikasi
notifilasi,notifikasi
now,sekarang
ntah,entah
ntar,entar
ntuk,untuk
number,nomor
nunggunnya,nunggu
nunggunya,nunggu
nvc,komunikasi jarak pendek
ny,nya
nyaa,nya
nyaaa,nya
nyadi,nya
nyakut,nyangkut
nyaut,sahut
nyesel,nyesal
nyesell,nyesel
nyh,nya
nyimpen,simpan
oentinhhgg,penting
okkee,oke
oline,daring
on,ke
one,satu
online,daring
onsumen,konsumen
operarator,operator
operatorpun,operator
oprator,operator
org,orang
orgnya,orang
otp,kode
oun,pun
out,keluar
outlet,toko
overall,keseluruhan
oy,oi
pa,apa
padahala,padahal
padahalan,padahal
padahl,padahal
padhal,padahal
pake,pakai
pakeeeee,pake
pakek,pakai
pakel,pakai
pakenya,pakai
pam,perusahaan air minum
papa,gapapa
parahh,parah
parahhhh,parah
parahnya,parah
pastinya,pasti
paword,sandi
payahh,payah
payahhh,payah
payahhhh,payah
payahhhhhhh,payah
payahhhhhhhhhhhhh,payah
paylater,bayar nanti
payletter,bayar nanti
payment,pembayaran
pdahal,padahal
pdhal,padahal
pdhl,padahal
peak,bodoh
pegawainya,pegawai
pekerjanya,pekerja
pelanggannya,pelanggan
pelayanananya,pelayanan
pelayanannya,pelayanan
pelayananya,pelayanan
pemakaiannya,pemakaian
pemakaianya,pemakaian
pemakainya,pemakai
pembayarannya,pembayaran
pembayaranya,pembayaran
pembayaranyg,pembayaran
pembukuannya,pembukuan
pembyran,pembayaran
pemiliknya,pemilik
pemrosesannya,pemrosesan
penanganannnya,penanganan
penanganannya,penanganan
pencahayaan,cahaya
pencerahannya,pencerahan
pending,ditunda
pengaduanx,pengaduan
pengamannya,pengaman
penggunaannya,penggunaan
penggunaanya,penggunaan
pengin,ingin
penginstallan,pemasangan
pengirimannya,pengiriman
pengirimanya,pengiriman
penguna,pengguna
pensing,ditunda
percya,percaya
perinah,perintah
peringan,ringan
peripiksi,verifikasi
permaslahan,permasalahan
pernh,pernah
perolehi,peroleh
peroses,proses
pertanggungjawaban,tanggung jawab
php,bohong
pilihannya,pilihan
pinjamanya,pinjaman
pinn,pin
pinnya,pin
piye,gimana
pkai,pakai
pke,pakai
pket,paket
play,permainan
playanan,pelayanan
playleternya,bayar nanti
please,tolong
pling,paling
pliss,tolong
pln,perusahaan listrik negara
plusnya,plus
pnariknn,penarikan
pngaduan,pengaduan
pngisian,pengisian
pnting,penting
pocer,voucher
pokoke,pokoknya
pokoknha,pokoknya
pokoknyaa,pokoknya
pokonya,pokoknya
pokonyaa,pokoknya
pokonyaaa,pokoknya
polll,habis
pollll,habis
pombensin,pom bensin
pormulir,formulir
poto,foto
ppn,pajak pertambahan nilai
ppob,titik pembayaran bank daring
prakris,praktis
praktiss,praktis
prang,orang
prantara,perantara
prbaikin,perbaikin
preeet,omong kosong
premiumnya,premium
prihal,perihal
printout,mencetak
prnah,pernah
prngalaman,pengalaman
problem,masalah
promonya,promo
promosikan,promosi
prosesnya,proses
provider,penyedia layanan
pt,perseroan terbatas
pulsaa,pulsa
pulsan,pulsa
pulsanya,pulsa
pulsaq,pulsa
pusatnya,pusat
puter,putar
pw,sandi
q,ku
qr,respon cepat
quirs,kode respon cepat standar indonesia
quota,kuota
rate,nilai
rating,penilaian
rb,ribu
real,nyata
reapon,respon
recom,rekomendasi
recomended,direkomendasikan
recommend,rekomendasi
recommended,direkomendasikan
reffund,uang kembali
refun,uang kembali
refund,uang kembali
refundnya,uang kembali
regist,daftar
rek,rekening
rekamaannya,rekaman
rekeningnya,rekening
rekomen,rekomendasi
rekomend,rekomendasi
rekomendasiin,rekomendasi
rekomendasj,rekomendasi
rekomended,direkomendasikan
rekomendedlah,rekomendasi
rekomendet,rekomendasi
repeat,ulang
reply,balasan
repon,respon
report,laporan
request,permintaan
resetpin,reset pin
respo,respon
respond,respon
responn,respon
responnn,respon
responnya,respon
respons,respon
responsive,responsif
responvyg,respon
responya,respon
restar,mengulang kembali
return,kembali
ribed,ribet
ribeeeettt,ribet
ribett,ribet
ribettt,ribet
ribettttttttt,ribet
risert,reset
riwayatnya,riwayat
riwel,ribet
rmh,rumah
root,sumber
roted,busuk
rp,rupiah
rugii,rugi
rumayan,lumayan
runah,rumah
rusakk,rusak
ruweet,ruwet
saay,saat
saha,saya
sajaa,saja
sajah,saja
sakdo,saldo
sakiiiiiiiiiiiit,sakit
salahgunakan,salah gunakan
saldonya,saldo
saldonyapun,saldo
saldox,saldo
sam,sama
samai,sampai
samapai,sampai
samasekali,sama sekali
sampe,sampai
sampeh,sampai
sampek,sampai
samsek,sama sekali
sangatt,sangat
sangatttt,sangat
saranya,sarannya
satsetsatset,simpel
saua,saya
sayaa,saya
sayangnya,sayang
sbelumnya,sebelumnya
sblum,sebelum
sblumnya,sebelumnya
scam,penipuan
scan,pindai
sd,sampai
sdah,sudah
sdg,sedang
sdh,sudah
seakli,sekali
sebegitu,begitu
sebelh,sebelah
sebulanan,sebulan
seceparnya,secepatnya
seeprti,seperti
segeraaa,segera
seh,sih
seharusnya,seharus
sehhh,sih
sehinggga,sehingga
sejenisnya,sejenis
sekalii,sekali
sekaliiiiii,sekali
sekalinya,sekali
sekrang,sekarang
sekrng,sekarang
selengkap,lengkap
selesaiin,selesai
selfi,foto
selie,foto
selsai,selesai
semacamny,semacamnya
semenyara,sementara
semuaa,semua
semuanya,semua
sepusing,pusing
serfice,servis
seringgg,sering
service,servis
servicenya,servis
services,servis
servise,servis
servisnya,servis
servive,servis
sesalai,selesai
setangg,setan
setengan,setengah
setting,atur
sgala,segala
sgt,sangat
shop,toko
shopee,aplikasi
sich,sih
sie,sih
signal,sinyal
sihh,sih
sihhh,sih
sii,sih
siih,sih
siii,sih
siiii,si
siip,sip
sikit,sedikit
simcardnya,kartu sim
simple,simpel
sing,daftar
sinkronkan,sinkron
sistemnya,sistem
sja,saja
sjk,sejak
skali,sekali
skarang,sekarang
skli,sekali
sklinya,sekali
skr,sekarang
skrang,sekarang
skrg,sekarang
skrng,sekarang
slah,salah
slalu,selalu
sldo,saldo
slesai,selesai
sllu,selalu
slow,lambat
sma,sama
smga,semoga
smlm,semalam
smoga,semoga
smpai,sampai
smpe,sampai
smpek,sampai
sms,layanan pesan singkat
smua,semua
smw,semua
sngt,sangat
so,jadi
soallnya,soalnya
soalnyaa,soalnya
sodara,saudara
solusiny,solusi
solusinya,solusi
sorry,maaf
sosmed,sosial media
span,spam
sperti,seperti
sprti,seperti
spt,seperti
sruh,suruh
srvice,servis
staff,staf
stak,nyangkut
standard,standar
standby,bersiap
statusnya,status
stelah,setelah
stiap,setiap
stlh,setelah
store,toko
ststus,status
sttus,status
stuck,nyangkut
suaranya,suara
sudh,sudah
sue,sial
sueah,sudah
sueee,sial
sukaa,suka
sukaaa,suka
sukaak,suka
sukakk,suka
sulitnya,sulit
sumpahh,sumpah
sumua,semua
support,dukungan
suruhhubungi,suruh hubungi
susahnya,susah
switch,ganti
sy,saya
sya,saya
system,sistem
systemnya,sistem
tadinya,tadi
taheeeeeeeee,taik
tahuan,tahu
taii,tai
taikk,taik
take,ambil
takutnya,takut
tali,kali
tampa,tanpa
tampilannya,tampilan
tanja,tanpa
tanks,terimakasih
tanpaa,tanpa
tansaksi,transaksi
tap,ketuk
tapiiii,tapi
tar,entar
tatik,tarik
taui,tahun
taun,tahun
taxxee,taxi
tb,tiba
tbtb,tiba tiba
td,tadi
tdak,tidak
tdk,tidak
tech,teknologi
teerrrrburuk,terburuk
tekt,teks
telanjur,terlanjur
teleponnya,telepon
telfon,telpon
telp,telepon
telpn,telpon
telpun,telepon
telvon,telpon
template,templat
tenant,penyewa
tep,tetap
tepatnya,tepat
teransasi,transaksi
terbaikk,terbaik
terblokir,blokir
terblokirnya,blokir
terbodoh,bodoh
terdaftr,terdaftar
terdebet,debit
terhunbung,terhubung
terimakasiii,terimakasih
terjangkauu,terjangkau
terngeselin,kesal
teros,terus
terpending,tertunda
terpercayaa,terpercaya
terselesaikan,selesai
tersesia,tersedia
terupdate,diperbaharui
terupgrade,ditingkatkan
teruss,terus
terussss,terus
teruuss,terus
terverivikasi,verifikasi
tervertifikasi,verifikasi
tetep,tetap
tetepi,tetapi
tf,transfer
tfr,transfer
