content,Preprocess,CustomerService_prediksi,FiturAplikasi_prediksi,UserExperience_prediksi,Verifikasi_prediksi
"Ternyata ini dompet digital yg aman dipake, bisa buat nyimpen saldo, bayar ini itu tanpa bawa uang tunai. Transaksinya jg gampang & cepet. Tadinya udah was2 kalo2 gak masuk klu dipake buat top up jg... Overall bagus apk nya...",  dompet digital  aman dipake   simpan saldo bayar    bawa uang tunai transaksi  gampang cepat  udah was kalo gak masuk  dipake  mantap  jg  bagus aplikasi  ,0,1,1,0
Gimana ini akun basic mulu mau tarik tunai gabisa. Sengaja banget ya udah update full service proses kok sampai 2minggu!!!! Penipuan ini mah,gimana  akun  mulu  tarik tunai gabisa sengaja   udah baharu penuh servis proses   minggu tipu  ,0,-1,-1,-1
"Simple, mudah dan sangat membantu... Sayang nya beli pulsa disini sekarang mahal.",simpel mudah   bantu sayang  beli pulsa   mahal ,0,1,1,0
Sering ngk bisa di buka. Padahal jaringan udah ful kenceng tetep aja di berhenti di logo depan.,    buka  jaring udah penuh kencang  aja  henti  logo  ,0,0,-1,-1
Sya tidak bisa login di akun lama sya. Tidak ada pemberitahuan blokir dan atau apalah. Sudah sya isi saldo tpi tidak bisa login telfon CS tidak ada respon terus sya harus mengadu ke siapa? Dan solusinya gimana?, tidak  masuk  akun lama  tidak  pemberitahuan blokir   apa   isi saldo  tidak  masuk telpon layan langgan tidak  respon    adu    solusi gimana ,-1,-1,-1,0
"Topup emoney sukses, pas update saldo gagal terus, saldo link sudah terpotong. Coba hubungin call center dan live chat tidak ada respon sama sekali. Kirim email juga tidak ada jawaban pasti malah di suruh ke live chat",isi uang digital sukses pas baharu saldo gagal  saldo linkaja  potong coba hubung panggil pusat  langsung obrol tidak  respon   kirim email  tidak      suruh  langsung obrol,-1,-1,-1,0
Aplikasinya sangat membantu untuk bertransaksi via online. Fitur-fiturnya lengkap dan mudah digunakan. Terima kasih LinkAja,aplikasi  bantu  transaksi via daring fitur fitur lengkap  mudah  terima kasih linkaja,0,1,1,0
"Link aja Susah aplikasi nya, mau daftar saja gak bisa-bisa...ganti yg lain saja..,jgn diperumit..mau tertib tapi rumit nya minta ampun...dasar ...",linkaja aja susah aplikasi   daftar  gak   ganti    jgn rumit  tertib  rumit   ampun dasar ,0,0,-1,0
"mohon untuk diperbaiki. sudah 1 minggu coba log in muncul ""gagal dimuat"", alesannya cek koneksi. padahal koneksi aman-aman aja. tolong dong, padahal cuma reset PIN doang, ribet amat",mohon  baik  minggu coba masuk dalam muncul gagal muat alesan cek koneksi  koneksi aman aman aja tolong    reset pin  ribet ,0,-1,-1,0
Mantap lancar dan aman. Link aja kedepan nya ada menu pay later nya seperti tetangga sebelah. Semoga sukses,mantap lancar  aman linkaja aja depan   menu pay later   tetangga belah moga sukses,0,1,1,0
Aplikasinya sangat bagus. Sangat mudah dan praktis untuk pembayaran + banyak bangettt cashbacknyaaa,aplikasi  bagus  mudah  praktis  bayar   cashbacknyaaa,0,1,1,0
"Transaksi gagal, uang gak keluar saldo uda kedebet. Mo komplain ditelpon susah banget gak bisa2. Komplain pake live chat gak ada tanggapan n solusinya. Tolong lah komplain di respon cepat. Telpon diangkat.",transaksi gagal uang gak  saldo udah debit  komplain telpon susah  gak  komplain pakai langsung obrol gak  tanggap  solusi tolong  komplain  respon cepat telpon angkat ,-1,0,-1,0
Top up e money saldo di potong tapi transaksi blm masuk. Sudah lapor di beri ticket namun gak ada kejelasan. Hilang deh 1 jt.,mantap  elektronik uang saldo  potong  transaksi  masuk  lapor   tiket  gak  jelas hilang  juta ,0,-1,-1,0
"Saya sudah 2 bulan pengajuan pindahan saldo di suruh pengajuan pormulir lewat email sudah stlh 1 bln menunggu blm pindah juga saldonya malah di suruh pengajuan pormulir lewat website saya ikuti pengajuan lewat website tapi skrg sudah 2 bulan saldonya belum pindah juga, kalau memang tidak bisa kembali uang saya bilang saja tidak bisa jangan permainkan saya sebagai orang kecil buat kalian uang 2jt mungkin kecil tapi buat saya uang itu sangat berarti. Terimakasih linkaja sudah permainkan saya",   aju pindah saldo  suruh aju formulir  email    tunggu  pindah  saldo   suruh aju formulir  situs web  ikut aju  situs web     saldo  pindah    tidak   uang  bilang  tidak  jangan main   orang    uang jt      uang    terimakasih linkaja  main ,0,-1,-1,0
Kenapa mau upgrade ke full service begitu lama waktunya apakah masih bisa di andalkan aplikasi linkaja ini?,  tingkat  penuh servis  lama      andal aplikasi linkaja  ,0,0,-1,-1
"Rekomended bangett, aplikasinya sangat membantu dan mudah digunakan",rekomendasi  aplikasi  bantu  mudah ,0,1,1,0
"Pelayanan nya buruk banget , saya ingin mengajukan pemindahan saldo , dan sudah saya isi form nya tinggal di kirim ke agent tapi lama bgt dalam antrian Mulu , saya sudah nunggu 3 jam gak ada respon",layan  buruk    aju pindah saldo    isi form  tinggal  kirim  agen  lama   antri mulu   nunggu jam gak  respon,-1,0,-1,-1
"Proses full servise lama banget, gak guna nyesel gua isi saldo... Uang gak bisa dipake kirim2.... ?????? ð¡ð¡ð¡ Buat tranfer gak bisa mo diambil juga gak bisa.... Maunya apa yaaaaað¡ð¡ð¡ð¡ Dalam proses mulu.... Amatir banget, .... Yg penting solusinya gmn, percuma hanya jawab pertanyaan aja ,hubungi ini, hubungi itu, gak langsung action.... ðð",proses penuh servis lama  gak  nyesal gua isi saldo uang gak  dipake kirim  transfer gak   ambil  gak    yaaaaa  proses mulu amatir    solusi gimana     aja hubung  hubung  gak langsung action ,-1,-1,-1,-1
"Suka sekali, Aplikasi dompet digital pertama yang berbasis syariah, gampang banget cara penggunaannya. semoga fiturnya selalu berkembang",suka  aplikasi dompet digital   bas syariah gampang   guna moga fitur  kembang,0,1,1,0
"Aplikasi Sampah, tolong segera diperbaiki . sudah terlanjur top up, malah keterangan akun anda tidak bisa di akses",aplikasi sampah tolong  baik  lanjur mantap   terang akun  tidak   akses,0,-1,-1,0
"Saya punya akun di link aja,lama gak dibuka suruh reset Pin,krna email belum terdaftar disuruh tp call center,setelah tlp nunggu lama dialihkan suruh kirim email,kenapa kok ribet gini ya penangannnya,setelah kirim email belum direspon2,sudah beberapa hari no respon emailny",  akun  linkaja aja lama gak buka suruh reset pin  email  daftar suruh  panggil pusat  telepon nunggu lama alih suruh kirim email   ribet gin  penangannnya  kirim email  direspon    nomor respon email,-1,0,-1,0
"Aplikasi nya keren banget , bisa bayar tagihan indihome, beli pulsa dll, apk nya juga mudah digunakan . Saran kalau bisa tf ke bank g usah ada admin nya, tapi keseluruhan apk nya sudah oke banget , tingkatkan link aja",aplikasi  keren   bayar tagih indihome beli pulsa    aplikasi   mudah  saran   transfer  bank gak   admin    aplikasi   oke  tingkat linkaja aja,0,1,1,0
Verifikasi TERLAMA jatuh kepada LINKAJA. Beda dengan yg lain paling lama proses verifikasi hanya 1 hari. Ini sudah 5 hari belum juga.,verifikasi lama jatuh  linkaja beda     lama proses verifikasi        ,0,0,-1,-1
"Aplikasi sangat menjengkelkan, pembelian pulsa sampai 1 bulan masih pending terus. Mau ditunggu sampai berapa hari lagi nih ? MOHON DIRESPON.",aplikasi  jengkel beli pulsa    tunda   tunggu      mohon respon ,0,-1,-1,0
"Walau baru nyoba tapi jujur ini Aplikasinya bagus bgt . Tampilannya juga menarik , aman dan terpercaya pastinya.. Kalau anda mau yang mudah cepat dan aman linkaja solusinya.. buruan di coba .",  nyoba  jujur  aplikasi bagus  tampil  tarik aman  percaya pasti     mudah cepat  aman linkaja solusi buru  coba ,0,1,1,0
Tolong di perbaiki apk nya. Masa saya mau narik duet ke rekening ngga bsa. Padahal akun ku udah full servis. Motifnya layanan sedang ditingkatkan terusðð,tolong  baik aplikasi     narik uang  rekening tidak   akun ku udah penuh servis motif layan  tingkat  ,0,-1,-1,-1
Kenapa ini link aja ga bisa di buka.....padahal penting banget buat bayar tagihan malah error' aplikasi apaan ini. Malah bikin ribet,  linkaja aja ga   buka     bayar tagih  rusak aplikasi    bikin ribet,0,-1,-1,0
"Sangat buruk sekali..saya sangat kecewa menggunakan aplikasi ini. Saya transfer saldo udah kepotong & status msih pending. Sampai skrang gak ada kjlasan, udah lbih dri 1x24 jam. Telp cust gak ada kejelasan, di email di blas ituÂ² aja, saya butuh uang saya balik!", buruk    kecewa  aplikasi   transfer saldo udah potong status  tunda   gak  jelas udah    jam telepon langgan gak  jelas  email  balas  aja  butuh uang   ,-1,-1,-1,0
Ni aplikasi maunya apa sih.... verifikasi email 1000x kirim ulang gk jg di konfirmasi... aplikasi sampah...enaknya ni aplikasi di masukin wc,ni aplikasi    verifikasi email  kirim ulang gak   konfirmasi aplikasi sampah enak ni aplikasi  masukin wc,0,0,-1,-1
"Aku secara pribadi suka pakai apk ini, cuman apk ini itu memiliki kelemahan kenapa kita mau mengadukan keluhan di apk ini harus di atur mengenai perihal tersebut. Sedangkan saya pribadi tuh maunya ngomong langsung secara bebas tanpa di setting oleh apk ini. Seperti shopee dong CS nya responsive dan sigap dalam mengenai keluhan cutomers nya. Terima kasih mudah-mudahan apk Link aja bisa makin lebih baik.",  pribadi suka pakai aplikasi  cuman aplikasi   milik lemah    adu keluh  aplikasi    atur  perihal    pribadi   ngomong langsung  bebas   atur  aplikasi   aplikasi  layan langgan  responsif  sigap   keluh langgan  terima kasih mudah mudah aplikasi linkaja aja    baik ,-1,1,1,0
Buat temanÂ² yg mau download aplikasi ini saya sarankan untuk cari informasi lebih lengkap tentang apk ini Soalnya setelah saya cek banyak korban setelah top up di atas 500 ribu Kak mohon infonya kenapa akun sya tdk bisa dibuka lagi Mohon segera informasikan, teman   unduh aplikasi   saran  cari informasi  lengkap  aplikasi     cek  korban  mantap    ribu kak mohon info  akun  tidak  buka  mohon  informasi,0,-1,-1,0
"Aplikasinya bagus banget dan ga ribet, mudah dimengerti.. mantap banget",aplikasi bagus   ga ribet mudah erti mantap ,0,1,1,0
"aplikasinya mempermudah untuk pinjol, fiturnya mudah dimengerti",aplikasi mudah  pinjol fitur mudah erti,0,1,1,0
Aplikasi pembayaran paling lengkap. Mau transfer atau bayar tagihan jadi gampang. Udah gitu banyak promo dan potongan harga. Keren sih.,aplikasi bayar  lengkap  transfer  bayar tagih  gampang udah gitu  promo  potong harga keren  ,0,1,1,0
"upgrade akun gagal karena foto ktp dan wajah asli berbeda? anjirr, 6 bank berbeda saya aktifasi pakai ktp yg sama gak ada masalah.. lah ini? gak heran banyak kasih rating rendah! ckck",tingkat akun gagal  foto ktp  wajah asli beda anjirr bank beda  aktivasi pakai ktp   gak     gak heran  kasih nilai rendah ,0,0,-1,-1
"Pakai link aja ngebantu saya dalam membayar transaksi apapun, benerÂ² ngebantu jadi lebih efisien tanpa harus pergi keluar rmh untuk berbagai transaksi pembayaran, ditambah saya yang super sibuk. Gada waktu buat bayar ini itu, tp karna ada linkaja segala urusan saya terbantu. Makasih!!",pakai linkaja aja ngebantu   bayar transaksi apa bener ngebantu   efisien   pergi  rumah   transaksi bayar tambah   super sibuk tidak    bayar      linkaja  urus  bantu makasih ,0,1,1,0
Aplikasi yg buat kecewa pemakainya...dari mulai isi saldo e money yg tidak masuk sampai isi paket data selular yg tidak masuk juga...saldo terpotong audah hubungi layanan tpi gk diangkat2...via email juga sudah cuma jawaban tunggu 3x24 jam sampe sekarang sudah seminggu masih blum ada jawaban...,aplikasi   kecewa maka   isi saldo elektronik uang  tidak masuk  isi paket data selular  tidak masuk  saldo potong  hubung layan  gak angkat via email     tunggu  jam    minggu     ,-1,-1,-1,0
"Aplikasi ini komplit banget, karena kita bisa menggunakan link aja untuk membayar transaksi seperti tagihan listrik, membeli pulsa atau paket data. Semuanya mudah dapat dilakukan berkat tampilan antar muka yang user friendly, karena bisa cek saldo di mana saja dan juga banyak promo menarik.",aplikasi  lengkap      linkaja aja  bayar transaksi  tagih listrik beli pulsa  paket data  mudah   berkat tampil  muka  guna friendly   cek saldo       promo tarik ,0,1,1,0
"Aplikasi yang sangat membuat jengkel + tidak berguna sudah lebih dari seminggu tapi akun masih dalam keadaan basic padahal sudah upgrade menjadi full service, sudah mencoba berkali-kali menghubungi via email dan chat namun selalu tidak ada kemajuan. Tolong segera perbaiki aplikasinya dan tolong segera upgrade akun saya karena saya sudah terlanjur mentransfer ke link aja namun tidak bisa melakukan transaksi karena kendala akun masih basic",aplikasi    jengkel tidak guna    minggu  akun       tingkat  penuh servis  coba kali kali hubung via email  obrol   tidak  maju tolong  baik aplikasi  tolong  tingkat akun     lanjur transfer  linkaja aja  tidak   transaksi  kendala akun  ,-1,-1,-1,-1
"Aplikasinya bagus sekali, bisa buat payment banyak tempat, banyak promo juga, memudahkan kalau pesen kereta sih yang paling aku sukað",aplikasi bagus    bayar    promo  mudah  sen kereta     suka ,0,1,1,0
"Sangat kecewa pake aplikasi ini uda isi saldo pas login karena lupa sandi,pas melakikan reset mala pilihan emai tdk bisa kepencet,benar2 menyusahkan", kecewa pakai aplikasi  udah isi saldo pas masuk  lupa sandi pas  reset  pilih email tidak  pencet benar susah,-1,-1,-1,0
Udah berbulan bulan nunggu untuk full upgrade sampe rambut ubanan belom juga di upgrade. Padahal company gua kerjasama Ama ini apk. Sue...iT nya gak becus...apa manage nya amburadul. Gak tau dah.....satu kata...PAYAH,udah   nunggu  penuh tingkat  rambut uban bom   tingkat  usaha gua kerjasama ama  aplikasi sue it  gak becus  kelola  amburadul gak tau    payah,0,0,-1,-1
"Aplikasi dengan berbagai kemudahan.Terpercaya, aman, segala transaksi lancar. Oke banget, rekomendedlah",aplikasi   mudah percaya aman  transaksi lancar oke  rekomendasi,0,1,1,0
"Kenapa upgrade full service terus,sudah 2 hari.sehingga saya tidak bisa kirim uang..,", tingkat penuh servis      tidak  kirim uang ,0,0,-1,-1
"AKUN TIDAK BISA DI AKSES, sudah coba ke email, telp call centre, live chat gak ada yang bisa tersambung dengan agent, dijawab BOT semua, ini gmn coba? akun saya ada saldo utama dan saldo bonus, tolongla ini gimana solusinya!!",akun tidak   akses  coba  email telepon panggil pusat langsung obrol gak    sambung  agen  robot   gimana coba akun   saldo utama  saldo bonus tolong  gimana solusi ,-1,-1,-1,0
"Verifikasi nya lama banget, tidak cocok klo mau di pakek cepat,, sudah 1 minggu lebih akun belum terverifikasi",verifikasi  lama  tidak cocok    pakai cepat  minggu  akun  verifikasi,0,0,-1,-1
"Pelayanan nya memuaskan, bagian customer servicenya pun sangat ramah dan sopan.terimakasih linkAja.",layan  muas  customer servis   ramah  sopan terimakasih linkaja ,-1,0,-1,0
"Aplikasi terlalu ribet,buat apa di buat live chat ternyata tidak bisa di gunakan.masa harus telfon ,bukannya di mudahkan malah di persulit untuk nlf.harus punya modal 20.000 rupiah untuk nelfon.kecewa",aplikasi  ribet     langsung obrol  tidak      telpon   mudah   sulit  nelpon   modal rupiah  nelpon kecewa,-1,-1,-1,0
Saya minta upgrade akun linkaja udah seminggu ko masih dalam proses aja. Kapan di ACC nya. Haduuuh coba dong akun linkaja di benerin jadi ragu make nya. Gua kasih bintang satu aja lah,  tingkat akun linkaja udah minggu    proses aja   terima   coba  akun linkaja  benerin  ragu make  gua kasih bintang  aja ,0,0,-1,-1
"Aplikasi link ini sangat berguna bagi saya, banyak manfaatnya. Banyak menu transaksinya.",aplikasi linkaja   guna    manfaat  menu transaksi ,0,1,1,0
"Aplikasinya bagus mempermudah untuk beliÂ² pulsa,paket data,transfer uang dan lain lainnya.",aplikasi bagus mudah  beli pulsa paket data transfer uang    ,0,1,1,0
"Rekomen banget sih LinkAja, memudahkan berbagai pembayaran dengan pengguna yang ga ribet, pendaftaran untuk aplikasinya sendiri mudah dan udah pasti dengan penjaminan keamanan. Ga ada biaya tambahan untuk transfer, rekomen bangetttt",rekomendasi   linkaja mudah  bayar  guna  ga ribet daftar  aplikasi  mudah  udah   jamin aman ga  biaya tambah  transfer rekomendasi ,0,1,1,0
Tolong di perbaiki lagi untuk proses upgrade ke full servis nya...lama banget nunggu nya hampir 1bulanð¥´,tolong  baik   proses tingkat  penuh servis  lama  nunggu    ,0,0,-1,-1
Kenapa sampai hari ini saya belum bisa menggunakan layanan full service sudah dari tanggal 03-01-2023 sudah di upgrade. Sampai sekarang tgl 09-01-2023 belum bisa menggukan layanan link aja padahal disuruh menunggu 1x24 jam.,        layan penuh servis   tanggal   tingkat   tanggal    layan linkaja aja  suruh tunggu  jam ,0,0,-1,-1
"recomended deh guys, fiturnya lengkap dan aksesnya mudah",rekomendasi  guys fitur lengkap  akses mudah,0,1,1,0
Saya sudah lama menggunakan linkaja.bulan desember saya melakukan pembayaran PLN dan saldo link juga berkurang. Dan saya baru tahu kemaren saya di datangi pihak PLN karena saya belum melakukan pembayaran bulan desembar.saya kaget saya kasih bukti pembayaran link. Begitu saya cek ternyata masih dalam proses. Masa proses pembayaran tgl 20 desember samapai tgl 4 january tidak selesai. Terus ini bagaimana? Padahal saldo sudah terpotong buat pembayaran PLN? Tapi ternyata dr PLN nya saya blm bayar?,  lama  linkaja  desember   bayar usaha listrik negara  saldo linkaja  kurang     kemaren   datang  usaha listrik negara     bayar  desember  kaget  kasih bukti bayar linkaja   cek    proses  proses bayar tanggal desember  tanggal januari tidak selesai     saldo  potong  bayar usaha listrik negara    usaha listrik negara    bayar ,0,-1,-1,0
"Aplikasi sangat kurang memuaskan, untuk upgrade aja lama banget seminggu lebih belum ada kejelasan, tanya bantuan CS juga balasan nya cuma nunggu antrian. Padahal mau buat kerjaan. Gimana ini??",aplikasi  kurang muas  tingkat aja lama  minggu    jelas  bantu layan langgan  balas   nunggu antri    kerja gimana  ,-1,0,-1,-1
Aplikasi nggak bisa di upgrade sulit pemakaian call center tifak membantu sama sekali tidak bisa dihubungi,aplikasi    tingkat sulit pakai panggil pusat tidak bantu   tidak  hubung,-1,-1,-1,0
Sangat bermanfaat dan memberikan keringanan.maju terus linkaja.pantang mundur semoga kedepannya lebih baik lagi, manfaat   ringan maju  linkaja pantang mundur moga depan  baik ,0,1,1,0
bayar apapun jadi mudah. bayar transportasi kaya krl jadi gampang tinggal scan barcode. topup juga mudah. sangat membantu!,bayar apa  mudah bayar transportasi kaya kereta rel listrik  gampang tinggal pindai barcode isi  mudah  bantu ,0,1,1,0
"Aplikasi sangat recommended banget pokoknya, mempermudah transaksi.",aplikasi  rekomendasi  pokok mudah transaksi ,0,1,1,0
Kenapa dari malam dan pagi ini ga bisa kirim uang deh ke sesama link aja? Blank white gitu. Mana fitur Kirim Uang nya baru ada kalau mencet kontak. Biasanya ada di paling depan.,  malam  pagi  ga  kirim uang    linkaja aja kosong putih gitu  fitur kirim uang     mencet kontak      ,0,-1,-1,0
Aplikasinya terkesan kaku monoton dan respon CS sangat lambat dan tidak gesit dalam menangani masalah. Berkali-kali mengajukan update data tidak pernah membuahkan hasil nyata hanya selalu mengulang-ulang instruksi yang tidak jelas.,aplikasi kes kaku monoton  respon layan langgan  lambat  tidak gesit  tangan  kali kali aju baharu data tidak  buah hasil nyata   ulang ulang instruksi  tidak  ,-1,-1,-1,0
"Ini aplikasi niat nggak sih? Wkwkwk. Mau upgrade ke full service aja nunggu lama banget. Apa harus nunggu setahun buat di acc? Wkwkwk, yang lain sibuk cari pengguna. Eh aplikasi ini malah sibuk buang buang pengguna. Keren wkwkwk. Uninstall aja lah, mending ke yang sebelah.", aplikasi niat   wkwkwk  tingkat  penuh servis aja nunggu lama    nunggu tahun   terima wkwkwk   sibuk cari guna  aplikasi   sibuk buang buang guna keren wkwkwk hapus aja  mending   belah ,0,0,-1,-1
"bagus, fiturnya gampang sm cepet banget waktu pencairan dana pinjol. kalaupun ada masalah, cs nya fast respon banget tiap nanganin. so far oke si semoga kedepannya makin baik lg yaaww",bagus fitur gampang sm cepat   cair dana pinjol    layan langgan  cepat respon   nanganin   oke si moga depan  baik  ,0,1,1,0
"Kemarin aku top up di bri tapi sampai saat ini saldo belum masuk juga,respon custom service juga buruk,, kejadian terulang lagi dimohon sangat untuk link aja mohon top up segera di proses karena sangat butuh",kemarin  mantap   bank republik indonesia     saldo  masuk  respon custom servis  buruk jadi ulang  mohon   linkaja aja mohon mantap    proses   butuh,0,-1,-1,0
UI nya bagus dan menarik. Fiturnya banyak tapi mudah dimengerti pengguna baru. Tidak ada lag saat menggunakan aplikasi. Proses pencairan juga cepat dan lancar,antarmuka guna  bagus  tarik fitur   mudah erti guna  tidak  lag   aplikasi proses cair  cepat  lancar,0,1,1,0
"masak ga bisa log in, tulisannya periksa jaringan,",masak ga  masuk dalam tulis periksa jaring ,0,-1,-1,0
Sering banget tarik uang lewat bri uang gak kluar tp tulisannya transaksi berhasil dan saldo di link ajj terpotong pengembalian dana nya lama bgt hampir 3 minggu uyyð¥,  tarik uang  bank republik indonesia uang gak   tulis transaksi hasil  saldo  linkaja aja potong kembali dana  lama   minggu uyy ,0,-1,-1,0
"Hati2 unduh aplikasi ini,, sekali top up uang kalian tak akan kembali..apalagi akun baru..ngak akan bisa di tarik,,upgrade ke ke full servis udah hampir 1 bulan tidak dikabulkan, udah komplain di IG ngak ada balasan,di suruh live chat,,tetapi bukan live chat melai kan di balas dengan konputer,,, tidak ad adminny...",hati unduh aplikasi   mantap  uang      akun  ngak    tarik upgrade   penuh servis udah   tidak kabul udah komplain  instagram   balas  suruh langsung chat   langsung obrol    balas  konputer tidak  adminny ,-1,0,-1,-1
Aplikasi paling paling paling buruk Menjengkelkan upgrade nya lama saldo ketahan tidak bisa kirim uang.. Tidak ada solusi email tidak ada respon telfon CS sibuk.. Paraahhhh aplikasi mengecewakan!!!!!!,aplikasi    buruk jengkel tingkat  lama saldo tahan tidak  kirim uang tidak  solusi email tidak  respon telpon layan langgan sibuk paraahhhh aplikasi kecewa ,-1,-1,-1,0
"Aplikasi gini amat ya?. Berhari hari tambah metode pembayaran nggak bisa, upgrade nggak bisa. Layanan live chat nggak ada.",aplikasi gin   hari   metode bayar   tingkat   layan langsung obrol   ,-1,-1,-1,0
Tangga 8-1-2023 saya transaksi top up e money sebesar Rp 100.000 di aplikasi link aja sukses tapi di abdet tidak masuk saya mencoba abded di atm mandiri ternyata terpending .saya coba tlp ke cs link aja tetapi ga ada tanggapan. Saya ciba chat di bantuan tetep ga ada penyelesaian .aplikasi link aja telah mengambil uang saya 100.000,tangga  transaksi mantap  elektronik uang  rupiah  aplikasi linkaja aja sukses   baharu tidak masuk  coba baharu  atm mandiri  tunda  coba telepon  layan langgan linkaja aja  ga  tanggap  coba obrol  bantu  ga  selesai aplikasi linkaja aja  ambil uang  ,-1,-1,-1,0
